word,frequency,first-appearance,last-appearance
pattered,1,1.00,1.00
rooftops,1,1.00,1.00
seeped,1,1.00,1.00
cracks,1,1.00,1.00
Tapping,1,1.00,1.00
dripping,1,1.00,1.00
woman’s,1,1.00,1.00
crack,1,1.00,1.00
pattering,1,1.00,1.00
rush,1,1.00,1.00
shower,1,1.00,1.00
heavy,1,1.00,1.00
downpour,1,1.00,1.00
misfortune,1,1.00,1.00
peaceful,1,1.00,1.00
injuries,1,1.00,1.00
fade,1,1.00,1.00
rainfall,1,1.00,1.00
background,1,1.00,1.00
relax,1,1.00,1.00
ages,1,1.00,1.00
nagged,1,1.00,1.00
addressed,1,1.00,1.00
Thus,1,1.00,1.00
legendary,1,1.00,1.00
tale,1,1.00,1.00
Wandering,1,1.00,1.00
Inn,1,1.00,1.00
minutes,1,1.01,1.01
intended,1,1.01,1.01
anywhere,1,1.01,1.01
tonight,1,1.01,1.01
frowned,1,1.01,1.01
rubbed,1,1.01,1.01
and…she,1,1.01,1.01
must,1,1.01,1.01
taken,1,1.01,1.01
somewhere,1,1.01,1.01
big,1,1.01,1.01
walking,1,1.01,1.01
sight,1,1.01,1.01
porcelain,1,1.01,1.01
she’s,1,1.01,1.01
suddenly,1,1.01,1.01
cave,1,1.01,1.01
nose-to-nose,1,1.01,1.01
a—,1,1.01,1.01
shot,1,1.01,1.01
memory,1,1.01,1.01
fresh,1,1.01,1.01
arm—she,1,1.01,1.01
winced,1,1.01,1.01
easier,1,1.01,1.01
explain,1,1.01,1.01
reluctant,1,1.01,1.01
Dusty,1,1.01,1.01
Ahem,1,1.01,1.01
rationalize,1,1.01,1.01
happening,1,1.01,1.01
Who,1,1.01,1.01
am,1,1.01,1.01
Check,1,1.01,1.01
We’re,1,1.01,1.01
smiled,1,1.01,1.01
weakly,1,1.01,1.01
That’s,1,1.01,1.01
Solstice,1,1.01,1.01
forget,1,1.01,1.01
object,1,1.01,1.01
parts,1,1.01,1.01
instance,1,1.01,1.01
boy’s,1,1.01,1.01
poked,1,1.01,1.01
frown,1,1.01,1.01
Yep,1,1.01,1.01
Glad,1,1.01,1.01
change,1,1.01,1.01
Now…inventory,1,1.01,1.01
check,1,1.01,1.01
had…two,1,1.01,1.01
Wonderful,1,1.01,1.01
smartphone,1,1.01,1.01
carried,1,1.01,1.01
phones,1,1.01,1.01
Everyone,1,1.01,1.01
sensible,1,1.01,1.01
that’s,1,1.01,1.01
Most,1,1.01,1.01
journeys,1,1.01,1.01
prepared,1,1.01,1.01
ended,1,1.01,1.01
along,1,1.01,1.01
backpack,1,1.01,1.01
crammed,1,1.01,1.01
essentials,1,1.01,1.01
gun,1,1.01,1.01
fight,1,1.01,1.01
little,1,1.01,1.01
planned,1,1.01,1.01
adventure,1,1.01,1.01
happen,1,1.01,1.01
another…another,1,1.01,1.01
wrinkled,1,1.01,1.01
clearly,1,1.01,1.01
virtual,1,1.01,1.01
remember,1,1.01,1.01
drugged,1,1.01,1.01
abducted,1,1.01,1.01
fairly,1,1.01,1.01
certain,1,1.01,1.01
crazy,1,1.01,1.01
present,1,1.01,1.01
contrary,1,1.01,1.01
logical,1,1.01,1.01
real-world,1,1.01,1.01
explanations,1,1.01,1.01
left…,1,1.01,1.01
Magic,1,1.01,1.01
believe,1,1.01,1.01
magic,1,1.01,1.01
hour,1,1.01,1.01
changed,1,1.01,1.01
outlook,1,1.01,1.01
existence,1,1.01,1.01
fantastical,1,1.01,1.01
rapidly,1,1.01,1.01
yet…there,1,1.01,1.01
summoning,1,1.01,1.01
portal,1,1.01,1.01
mystical,1,1.01,1.01
ritual,1,1.01,1.01
feeling,1,1.01,1.01
void,1,1.01,1.01
Heck,1,1.01,1.01
ding,1,1.01,1.01
indicate,1,1.01,1.01
wanted,1,1.01,1.01
wardrobe,1,1.01,1.01
clutched,1,1.01,1.01
impossible,1,1.01,1.01
gone,1,1.01,1.01
mental,1,1.01,1.01
depiction,1,1.01,1.01
padded,1,1.01,1.01
they’d,1,1.01,1.01
plausible,1,1.01,1.01
answer,1,1.01,1.01
sitting,1,1.01,1.01
cautiously,1,1.01,1.01
What,1,1.01,1.01
never,1,1.01,1.01
inn—or,1,1.01,1.01
exclusively,1,1.01,1.01
Wooden,1,1.01,1.01
beams,1,1.01,1.01
ceiling,1,1.01,1.01
leading,1,1.01,1.01
up…,1,1.01,1.01
Am,1,1.01,1.01
medieval,1,1.01,1.01
Some,1,1.01,1.01
fantasy,1,1.01,1.01
haunting,1,1.01,1.01
emptiness,1,1.01,1.01
struck,1,1.01,1.01
harder,1,1.01,1.01
pathetically,1,1.01,1.01
grateful,1,1.01,1.01
spot,1,1.01,1.01
structure,1,1.01,1.01
rolling,1,1.01,1.01
grasslands,1,1.01,1.01
full-speed,1,1.01,1.01
ill,1,1.01,1.01
ease,1,1.01,1.01
spacious,1,1.01,1.01
round,1,1.01,1.01
smaller,1,1.01,1.01
impression,1,1.01,1.01
bartender,1,1.01,1.01
polishing,1,1.01,1.01
mug,1,1.01,1.01
serving,1,1.01,1.01
lovely,1,1.01,1.01
cool,1,1.01,1.01
of—,1,1.01,1.01
slapped,1,1.01,1.01
lightly,1,1.01,1.01
thirsty,1,1.01,1.01
think,1,1.01,1.01
sneezed,1,1.01,1.01
disgusting,1,1.01,1.01
Someone,1,1.01,1.01
…I,1,1.01,1.01
guess,1,1.01,1.01
means,1,1.01,1.01
me,1,1.01,1.01
confidence,1,1.01,1.01
words,1,1.01,1.01
Why,1,1.01,1.01
bother,1,1.01,1.01
On,1,1.01,1.01
sure,1,1.01,1.01
sleep,1,1.01,1.01
choke,1,1.01,1.01
death,1,1.01,1.01
cough,1,1.01,1.01
raw,1,1.01,1.01
Plus,1,1.01,1.01
nice,1,1.01,1.01
raise,1,1.01,1.01
Besides,1,1.01,1.01
one’s,1,1.01,1.01
able,1,1.01,1.01
to…,1,1.01,1.01
Hide,1,1.01,1.01
Live,1,1.01,1.01
exactly,1,1.01,1.01
what’s,1,1.01,1.01
uncertainty,1,1.01,1.01
gripped,1,1.01,1.01
terrified,1,1.01,1.01
rather,1,1.01,1.01
telling,1,1.01,1.01
option,1,1.01,1.01
help,1,1.01,1.01
herself—panic,1,1.01,1.01
luxury,1,1.01,1.01
couldn’t,1,1.01,1.01
afford,1,1.01,1.01
fell,1,1.01,1.01
truth,1,1.01,1.01
cling,1,1.01,1.01
conscious,1,1.01,1.01
decision,1,1.01,1.01
goal,1,1.01,1.01
humble,1,1.01,1.01
ambition:,1,1.01,1.01
Find,1,1.01,1.01
Certainly,1,1.01,1.01
most,1,1.01,1.01
inspired,1,1.01,1.01
decisions,1,1.01,1.01
plan,1,1.01,1.01
based,1,1.01,1.01
action,1,1.01,1.01
clear,1,1.01,1.01
across,1,1.01,1.01
mop…,1,1.01,1.01
promising,1,1.01,1.01
cobwebs,1,1.01,1.01
Drat,1,1.01,1.01
Next,1,1.01,1.01
checked,1,1.01,1.01
kitchen,1,1.01,1.01
several,1,1.01,1.01
old,1,1.01,1.01
rusty,1,1.01,1.01
pans,1,1.01,1.01
pots,1,1.01,1.01
desired,1,1.01,1.01
Damn,1,1.01,1.01
Feeling,1,1.01,1.01
increasingly,1,1.01,1.01
grabbed,1,1.01,1.01
towed,1,1.01,1.01
set,1,1.01,1.01
collect,1,1.01,1.01
returned,1,1.01,1.01
upstairs,1,1.01,1.01
put,1,1.01,1.01
foot,1,1.01,1.01
gulped,1,1.01,1.01
Due,1,1.01,1.01
size,1,1.01,1.01
high,1,1.01,1.01
was…ominous,1,1.01,1.01
say,1,1.01,1.01
bones,1,1.01,1.01
gigantic,1,1.01,1.01
Cautiously,1,1.01,1.01
ascended,1,1.01,1.01
stair,1,1.01,1.01
groaned,1,1.01,1.01
loudly,1,1.01,1.01
placed,1,1.01,1.01
weight,1,1.01,1.01
upon,1,1.01,1.01
sounds,1,1.01,1.01
echoed,1,1.01,1.01
landmines—each,1,1.01,1.01
creak,1,1.01,1.01
sped,1,1.01,1.01
caught,1,1.01,1.01
can,1,1.01,1.01
whispered,1,1.01,1.01
keeping,1,1.01,1.01
to—to,1,1.01,1.01
wake,1,1.01,1.01
skipped,1,1.01,1.01
beat,1,1.01,1.01
halfway,1,1.01,1.01
slightly,1,1.01,1.01
There’s,1,1.01,1.01
don’t,1,1.01,1.01
know,1,1.01,1.01
be—more,1,1.01,1.01
there’s,1,1.01,1.01
Right,1,1.01,1.01
Hesitation,1,1.01,1.01
Another,1,1.01,1.01
scolded,1,1.01,1.01
thumped,1,1.01,1.01
painfully,1,1.01,1.01
shuddered,1,1.01,1.01
touched,1,1.01,1.01
lip,1,1.01,1.01
twinged,1,1.01,1.01
screaming,1,1.01,1.01
chased,1,1.01,1.01
Actually,1,1.01,1.01
Aliens,1,1.01,1.01
try,1,1.01,1.01
stab,1,1.01,1.01
knives,1,1.01,1.01
With,1,1.01,1.01
gazed,1,1.01,1.01
